dbn,neighborhood,total_students,hs_enroll,non_hs,grades2018,PK,Grade_K,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Borough,finalgrades,program1,program2,program3,program4,program5,program6,program7,program8,program9,program10,language_classes,advancedplacement_courses,diplomaendorsements,graduation_rate,attendance_rate,pct_stu_enough_variety,college_career_rate,specialized,admissionspriority11,admissionspriority21,Year,n_Female,pct_Female,n_Male,pct_Male,n_Asian,pct_Asian,n_Black,pct_Black,n_Hispanic,pct_Hispanic,n_Multiple_Race_Categories_Not_Represented,pct_Multiple_Race_Categories_Not_Represented,n_White,pct_White,n_Students_with_Disabilities,pct_Students_with_Disabilities,n_English_Language_Learners,pct_English_Language_Learners,n_Poverty,pct_Poverty,Economic_Need_Index,graduation_quartile
16K498,Bedford-Stuyvesant,594,578,0,9 to 12,0,0,0,0,0,0,0,0,0,0,152,161,128,137,BROOKLYN,9 to 12,Academy for Social Justice,Computer Technology,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP Chemistry, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Spanish",Math,0.76,0.87,0.6,0.5,NA,Open to New York City residents,NA,2019-20,244,0.422,334,0.578,20,0.035,351,0.607,176,0.304,16,0.028,15,0.026,125,0.216,42,0.073,477,82.5%,83.4%,2
17K524,Crown Heights South,417,370,0,9 to 12,0,0,0,0,0,0,0,0,0,0,88,85,90,107,BROOKLYN,9 to 12,International High School at Prospect Heights,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0.99,1.04,0.6,NA,NA,NA,2019-20,139,0.376,231,0.624,62,0.168,79,0.214,185,0.5,9,0.024,35,0.095,15,0.041,311,0.841,302,81.6%,Above 95%,1
02M531,Midtown,242,237,0,9 to 12,0,0,0,0,0,0,0,0,0,0,61,67,58,51,MANHATTAN,9 to 12,Theater Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French, Spanish","AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Psychology, AP Spanish, AP U.S. Government and Politics, AP U.S. History",Arts,0.98,0.93,0.69,0.89,NA,Open to New York City residents,NA,2019-20,188,0.793,49,0.207,3,0.013,74,0.312,95,0.401,14,0.059,51,0.215,42,0.177,0,0,161,67.9%,49.8%,4
05M670,Central Harlem North,547,374,167,6 to 12,0,0,0,0,0,0,0,53,58,56,109,101,76,88,MANHATTAN,6 to 12,Social Change and Community Service,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP English Literature and Composition, AP U.S. History",NA,0.82,0.92,0.6,0.61,NA,Priority to continuing 8th graders,Then to District 5 students or residents,2019-20,285,0.527,256,0.473,9,0.017,363,0.671,153,0.283,9,0.017,7,0.013,137,0.253,21,0.039,421,77.8%,82.7%,2
15K423,DUMBO-Downtown Brooklyn,168,186,0,9 to 12,0,0,0,0,0,0,0,0,0,0,39,54,69,24,BROOKLYN,9 to 12,Brooklyn Frontiers High School,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,NA,NA,NA,0.69,0.61,NA,NA,NA,NA,2019-20,83,0.446,103,0.554,7,0.038,110,0.591,60,0.323,3,0.016,6,0.032,76,0.409,7,0.038,170,91.4%,81.8%,NA
24Q299,Hunters Point-Sunnyside,623,637,0,9 to 12,0,0,0,0,0,0,0,0,0,0,148,177,159,153,QUEENS,9 to 12,Bard High School Early College Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arabic, Latin, Mandarin, Spanish",NA,NA,0.97,0.95,0.92,0.92,NA,Open to New York City residents,NA,2019-20,407,0.639,230,0.361,214,0.336,75,0.118,134,0.21,17,0.027,197,0.309,53,0.083,2,0.003,294,46.2%,44.8%,4
17K408,Flatbush,208,244,0,9 to 12,0,0,0,0,0,0,0,0,0,0,83,62,61,38,BROOKLYN,9 to 12,Academy of Hospitality and Tourism,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,AP English Language and Composition,NA,0.45,0.7,0.71,0.26,NA,Open to New York City residents,NA,2019-20,130,0.533,114,0.467,4,0.016,182,0.746,48,0.197,1,0.004,9,0.037,58,0.238,39,0.16,216,88.5%,85.7%,1
19K683,East New York,287,264,0,9 to 12,0,0,0,0,0,0,0,0,0,0,58,70,54,82,BROOKLYN,9 to 12,Theater Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP Biology, AP English Language and Composition, AP Environmental Science, AP Statistics, AP U.S. Government and Politics",NA,0.79,0.91,0.67,0.3,NA,Open to New York City residents,NA,2019-20,140,0.53,124,0.47,33,0.125,107,0.405,104,0.394,9,0.034,11,0.042,53,0.201,74,0.28,230,87.1%,90.9%,2
02M407,Gramercy,492,278,211,6 to 12,0,0,0,0,0,0,0,67,68,76,68,71,71,68,MANHATTAN,6 to 12,Institute for Collaborative Education,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,NA,NA,0.88,0.93,0.91,0.75,NA,Priority to continuing 8th graders,Then to New York City residents,2019-20,242,0.495,247,0.505,29,0.059,113,0.231,103,0.211,29,0.059,215,0.44,95,0.194,0,0,157,32.1%,36.0%,3
27Q302,Far Rockaway-Bayswater,443,481,0,9 to 12,0,0,0,0,0,0,0,0,0,0,136,113,114,118,QUEENS,9 to 12,Computer Science Program,CISCO Networking and Internet Computer Core Certification,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP Computer Science, AP Psychology, AP U.S. History",Math,0.75,0.77,0.82,0.29,NA,Open to New York City residents,NA,2019-20,170,0.353,311,0.647,24,0.05,207,0.43,227,0.472,8,0.017,15,0.031,95,0.198,87,0.181,349,72.6%,82.4%,2
12X251,Crotona Park East,351,314,0,9 to 12,0,0,0,0,0,0,0,0,0,0,95,84,62,73,BRONX,9 to 12,Computer Science and Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French, Spanish","AP Biology, AP English Language and Composition, AP Psychology, AP U.S. History",NA,0.74,0.91,0.57,0.41,NA,Priority to Bronx students or residents,Then to New York City residents,2019-20,126,0.401,188,0.599,5,0.016,83,0.264,219,0.697,4,0.013,3,0.01,82,0.261,72,0.229,277,88.2%,92.7%,2
